1,2,3,4,5,6
Wine,Chips,Bread,Butter,Milk,Apple
Wine,Nan,Bread,Butter,Milk,Nan
Nan,Nan,Bread,Butter,Milk,Nan
Nan,Chips,Nan,Nan,Nan,Apple
Wine,Chips,Bread,Butter,Milk,Apple
Wine,Chips,Nan,Nan,Milk,Nan
Wine,Chips,Bread,Butter,Nan,Apple
Wine,Chips,Nan,Nan,Milk,Nan
Wine,Nan,Bread,Nan,Nan,Apple
Wine,Nan,Bread,Butter,Milk,Nan
Nan,Chips,Bread,Butter,Nan,Apple
Wine,Nan,Nan,Butter,Milk,Apple
Wine,Chips,Bread,Butter,Milk,Nan
Wine,Nan,Bread,Nan,Milk,Apple
Wine,Nan,Bread,Butter,Milk,Apple
Wine,Chips,Bread,Butter,Milk,Apple
Nan,Chips,Bread,Butter,Milk,Apple
Nan,Chips,Nan,Butter,Milk,Apple
Wine,Chips,Bread,Butter,Milk,Apple
Wine,Nan,Bread,Butter,Milk,Apple
Wine,Chips,Bread,Nan,Milk,Apple
Nan,Chips,Nan,Nan,Nan,Nan
